what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1504699628480
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1504699630677
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1504699646940
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1504699647713
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1504699648947
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1504699654228
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1504699655595
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1504699656229
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1504699658290
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1504699662147
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504699664691
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504699722951
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504699724272
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504699765064
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1504699767829
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1504699769025
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1504699772733
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1504699777857
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1504699778317
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504699780587
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504699802881
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1504699807582
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504699809872
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504699821480
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1504699821620
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1504699825251
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1504699827493
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504699827862
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504699830505
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504699831351
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504699850522
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1504699856296
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1504699866852
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1504699871990
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504699874949
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504699897389
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1504699897519
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504699898936
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504699938561
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1504699938691
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1504699941506
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504699942015
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504699948906
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504699950494
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504699961059
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504699962002
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504699962676
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1504700039941
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504700043107
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504700043722
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1504700133757
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504700136972
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504700169807
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1504700172830
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1504700182679
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1504700198695
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504700200792
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504700215819
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1504700217941
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504700218387
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504700243959
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1504700244583
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1504700245061
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1504700245440
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504700247051
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504700248789
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504700249752
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504700313458
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1504700335148
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1504700351033
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504700351480
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504700352059
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504700352437
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504700353126
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504700354449
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504700367121
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1504700367249
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1504700371922
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504700372863
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504700378392
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1504700378721
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1504700379039
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1504700379669
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1504700380136
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1504700380567
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1504700380888
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504700381321
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504700381914
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504700421269
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504700443114
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1504700456253
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504700485879
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504700486430
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1504700488553
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1504700492785
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504700493473
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504700512335
error,log,,,"Too Many matches (68) were found for the requested token:msg",1504700521359
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504700521422
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504700523465
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504700529458
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504700717757
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504700723946
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504700724567
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504700874619
